#,Headline,Description Line 1,Description Line 2
1,Clinical Trial Experts,Find them with a few clicks.,"Search by disease, name, etc."
2,USC Trial Experts,Researchers at Keck Medicine of USC,are conducting 500+ clinical trials
3,Disease Trial Experts,Find clinical trial experts,Search them at Keck Medicine of USC
4,Clinical Trial Experts,Find collaborators for clinical,trials at Keck Medicine of USC
5,Keck Medicine of USC,Find clinical trial experts who,research disease
6,Test a New Drug,Work with clinical trial,experts at Keck Medicine of USC
7,Test New Treatment,Find clinical trial experts,to collaborate with
8,Test Medical Devices,Collaborate with clinical trial,experts at Keck Medicine of USC
9,Clinical Trial Experts,Want to test a new drug or device?,Work with Keck Medicine of USC
10,Disease Trial Experts,Find clinical trial experts for,your multi-site study
11,Find Trial Experts,Find clinical trial experts for,your multi-site study
12,Disease Trial Experts,Find experts at Keck Medicine of,USC for multi-site clinical trials
13,Find Multi-Site Trials,Find clinical trial experts in,disease research
14,Disease Trial Experts,Find clinical trial experts,at Keck Medicine of USC
15,Keck Medicine of USC,Find clinical trial experts in,disease research
16,Disease Trial Experts,Find clinical trial experts to,partner on disease research
17,Find Trial Experts,Find clinical trial experts to,partner on disease research
