#,Headline,Description Line 1,Description Line 2,Video Description
1,Clinical Trial Experts,Find them with a few clicks.,"Search by disease, name, etc.","We know that it can be difficult to find clinical trial expert. We make it easy for you. Use our public search tool to find and connect with experts at Keck Medicine of USC. Check out this link to access more information. Search by disease, name, and more."
2,USC Clinical Experts,Researchers at Keck Medicine of USC,are conducting 500+ clinical trials,"Researchers at Keck Medicine of USC are conducting more than 500 clinical trials. You can easily search them and we?d be happy to help if you have any questions. Check out this link to access more information. Search by disease, name, and more."
3,Disease Trial Experts,Find clinical trial experts,Search them at Keck Medicine of USC,"Have you been diagnosed with disease? Are you looking for a clinical trial to participate in? Here is an easy way to find clinical trial experts at Keck Medicine of USC and ongoing studies. Check out this link to access our public search tool. Search by disease, name, and more."
4,Clinical Trial Experts,Find collaborators for clinical,trials at Keck Medicine of USC,"Need to find a collaborator for a clinical trial? Use our public search tool to find them at Keck Medicine of USC. Check out this link to access more information. Check the ""Clinical Trials"" button, add a disease keyword, and select ""Search"" to see all experts with active clinical trials in your selected field. Let us know if you have any questions."
5,Keck Medicine of USC,Find clinical trial experts who,research disease,Finding clinical trial experts has never been easier at Keck Medicine of USC. Try our new public search tool now. Check out this link to access more information.
6,Test a new Drug,Work with clinical trial,experts at Keck Medicine of USC,"Looking to test a new drug? Connect with clinical trial experts at Keck Medicine of USC. It is easy to find them. Check out this link to go to our search tool: Click the ""Clinical Trials"" button, add a disease keyword, and select ""Search"" to see all experts with active clinical trials in your selected field. Let us know if you have any questions."
7,Clinical Trial Experts,Find clinical trial experts,to collaborate with,"Need to find a collaborator for a clinical trial? Use our public search tool to find them at Keck Medicine of USC. Check out this link to go to our public search tool: Click the ""Clinical Trials"" button, add a disease keyword, and select ""Search"" to see all experts with active clinical trials in your selected field. Let us know if you have any questions."
8,Test Medical Devices,Collaborate with clinical trial,experts at Keck Medicine of USC,"Our clinical trial experts help to drive discoveries into better healthcare for patients. You can easily find them. Check out this link to go to our public search tool: Click the ""Clinical Trials"" button, add a disease keyword, and select ""Search"" to see all experts with active clinical trials in your selected field. Let us know if you have any questions."
9,Clinical Trial Experts,Want to test a new drug or device?,Work with Keck Medicine of USC,"Partner with clinical trial experts at Keck Medicine of USC. It is easy to find them. Check out this link to go to our public search tool: Click the ""Clinical Trials"" button, add a disease keyword, and select ""Search"" to see all experts with active clinical trials in your selected field. Let us know if you have any questions."
10,Disease Trial Experts,Find clinical trial experts for,your multi-site study,Need to find a clinical trial expert in disease? More than 500 active clinical trials are under way at Keck Medicine of USC. Try our public search tool to find our experts and connect with them. Check out this link to access more information.
11,Find Clinical Experts,Find clinical trial experts for,your multi-site study,"Looking to test a new disease treatment? Connect with clinical trial experts at Keck Medicine of USC. It is easy to find them. Check out this link to access more information. Search by disease, name, and more. Click the ""Clinical Trials"" button, add a disease keyword, and select ""Search"" to see all experts with active clinical trials in your selected field. Let us know if you have any questions."
12,Disease Trial Experts,Find experts at Keck Medicine of,USC for multi-site clinical trials,"Looking to test a medical device? Partner with clinical trial experts at Keck Medicine of USC. It is easy to find them. Check out this link to go to our public search tool: Click the ""Clinical Trials"" button, add a disease keyword, and select ""Search"" to see all experts with active clinical trials in your selected field."
13,Find Multi-Site Trials,Find clinical trial experts in,disease research,"Looking to test a drug? Work with clinical trial experts at Keck Medicine of USC. Check out this link to access more information. Search by disease, name, and more."
14,Disease Trial Experts,Find clinical trial experts,at Keck Medicine of USC,"Researchers and physicians who conduct clinical trials are dedicated to deliver better health outcomes. Try our online search tool if you want to know who at Keck Medicine of USC is working on clinical trials in particular disease areas. Check out this link to access more information. Search by disease, name, and more."
15,Keck Medicine of USC,Find clinical trial experts in,disease research,Want to kick off a multi-site clinical trial? Use our Clinical Trial Expert Finder tool and search for collaborators at Keck Medicine of USC. Check out this link to access more information.
16,Clinical Trial Experts,Find them with a few clicks.,"Search by disease, name, etc.","We know that it can be difficult to find clinical trial expert. We make it easy for you. Use our public search tool to find and connect with experts at Keck Medicine of USC. Check out this link to access more information. Search by disease, name, and more."
17,Find Clinical Experts,Find clinical trial experts to,partner on disease research,"Are you looking for clinical trial experts to research disease? Search our experts at Keck Medicine of USC using this simple online tool. Check out this link to access more information. Click the ""Clinical Trials"" button, add a disease keyword, and select ""Search"" to see all experts with active clinical trials in your selected field. Let us know if you have any questions."
